,PLAYER_ID,SHOT_ZONE_RANGE,SHOT_PERCENTAGE,SHOT_COUNT_MADE,SHOT_RANGE_BIN
153,2581,Less Than 8 ft.,0.5625,9,0
154,2585,16-24 ft.,0.19230769230769232,5,16
155,2585,8-16 ft.,0.38095238095238093,16,8
156,2585,Back Court Shot,0.0,0,50
157,2585,Less Than 8 ft.,0.5503355704697986,82,0
158,2588,16-24 ft.,0.3333333333333333,1,16
159,2588,24+ ft.,0.5,6,24
160,2588,8-16 ft.,1.0,2,8
161,2588,Less Than 8 ft.,0.6,3,0
162,2590,16-24 ft.,0.5652173913043478,39,16
163,2590,24+ ft.,0.34210526315789475,26,24
164,2590,8-16 ft.,0.42857142857142855,18,8
165,2590,Back Court Shot,1.0,1,50
166,2590,Less Than 8 ft.,0.47058823529411764,16,0
167,2592,16-24 ft.,0.42857142857142855,3,16
168,2592,24+ ft.,0.36764705882352944,25,24
169,2592,8-16 ft.,0.4,4,8
170,2592,Less Than 8 ft.,0.5,2,0
171,2594,16-24 ft.,0.45901639344262296,28,16
172,2594,24+ ft.,0.35119047619047616,59,24
173,2594,8-16 ft.,0.5714285714285714,12,8
174,2594,Less Than 8 ft.,0.6,12,0
175,2617,16-24 ft.,0.3333333333333333,3,16
176,2617,24+ ft.,0.2,1,24
177,2617,8-16 ft.,0.42857142857142855,3,8
178,2617,Less Than 8 ft.,0.5,4,0
179,2730,24+ ft.,0.0,0,24
180,2730,8-16 ft.,0.5714285714285714,4,8
181,2730,Less Than 8 ft.,0.6244725738396625,148,0
182,2733,16-24 ft.,0.3888888888888889,7,16
183,2733,24+ ft.,0.1111111111111111,1,24
184,2733,8-16 ft.,0.5208333333333334,50,8
185,2733,Back Court Shot,0.0,0,50
186,2733,Less Than 8 ft.,0.676923076923077,44,0
187,2734,16-24 ft.,0.47058823529411764,8,16
188,2734,24+ ft.,0.35714285714285715,20,24
189,2734,8-16 ft.,0.5555555555555556,5,8
190,2734,Back Court Shot,0.0,0,50
191,2734,Less Than 8 ft.,0.5774647887323944,41,0
192,2736,16-24 ft.,0.37142857142857144,13,16
193,2736,24+ ft.,0.32323232323232326,32,24
194,2736,8-16 ft.,0.15,3,8
195,2736,Back Court Shot,0.0,0,50
196,2736,Less Than 8 ft.,0.611764705882353,52,0
197,2738,16-24 ft.,0.40625,13,16
198,2738,24+ ft.,0.4,38,24
199,2738,8-16 ft.,0.3684210526315789,7,8
200,2738,Back Court Shot,0.0,0,50
201,2738,Less Than 8 ft.,0.6708860759493671,53,0
202,2743,16-24 ft.,0.48148148148148145,13,16
203,2743,24+ ft.,0.3275862068965517,19,24
204,2743,8-16 ft.,0.2857142857142857,4,8
205,2743,Less Than 8 ft.,0.48936170212765956,23,0
206,2744,16-24 ft.,0.5384615384615384,14,16
207,2744,8-16 ft.,0.32727272727272727,18,8
208,2744,Less Than 8 ft.,0.55,33,0
209,2746,16-24 ft.,0.25,3,16
210,2746,24+ ft.,0.2765957446808511,13,24
211,2746,8-16 ft.,0.25,2,8
212,2746,Back Court Shot,0.0,0,50
213,2746,Less Than 8 ft.,0.4,28,0
214,2747,16-24 ft.,0.37209302325581395,16,16
